filename,region,de,sprei,die,jij,bracht,heeft,Suzan,altijd,al,gewild,omdat,die,zo,leuk,staat,bij,het,gele,laken
10147-1464186409-1917281,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sacn,aclteit,acl,gcwiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@
10185-1464080891-1853701,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,l,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
10238-1464473859-2110693,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
10566-1464766835-2185106,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xicl@,lak@n
11028-1464386284-2073036,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
11153-1464724518-2180361,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
11271-1464809028-2086239,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,heft,sysacn,aclteit,l,gc@wiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
11279-1464304417-1875031,Groningen_and_Drenthe,d,sprei,di,jei,bracx,ef,sycsacn,aclteit,acl,x@wicl,mdact,di,so,leuk,stat,bei,hect,xel@,lak@
11291-1464198137-1928429,Groningen_and_Drenthe,d@,zprei,di,jei,bracx,hef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
11338-1464212171-1945848,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,zycsacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lack@n
11437-1464115075-1877762,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n
11438-1464114869-1878519,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n
115-1449070494-10236,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
