filename,region,Jeannette ,lacht,nadat,ze,door,een,onbekende,persoon,is,gekust
10147-1464188232-1919794,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,do,n,ocn@kecnd@,pson,ics,gc@kust
10185-1464084502-1854549,Groningen_and_Drenthe,sc@nect,lacx,nadact,z@,do,@,ocnb@kecnd@,prson,ics,gc@kus
10238-1464707795-2142805,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,do,@,ocn@kecnd@,prson,ics,x@kust
10566-1464768532-2185606,Groningen_and_Drenthe,sc@nect,lacx,ndact,s,do,n,ocnb@kecnd@,p@son,ics,x@kust
11153-1465405524-2276680,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,gc@kust
11271-1464811258-2196494,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,do,@,ocn@kecnd@,prson,ics,x@kust
11279-1464370496-2054367,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,do,@n,ocn@kecnd@,p@rson,ics,gc@kus
11338-1464213708-1948724,Groningen_and_Drenthe,sc@nect,lacx,ndact,s,do,@,ocn@kecnd@,pson,ics,gc@kus
11437-1464116629-1879706,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,p@son,ics,x@kus
11438-1464213359-1948641,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,@n,ocn@kecnd@,p@rson,ics,gc@kus
115-1449080018-33409,Groningen_and_Drenthe,sc@nect,lacx,nadact,s,dor,@n,ocn@kecnd@,p@son,ics,gc@kus
11665-1464187367-1918809,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,x@kust
12233-1464296262-1980258,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,s,do,@n,ocnb@kecnd@,prson,ics,x@kust
12421-1465571690-2286576,Groningen_and_Drenthe,z@nect,lacx,nadact,s@,dor,@,ocn@kecnd@,p@son,ics,x@kus
12923-1464631894-2156408,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,pson,ics,gc@kust
12987-1464604105-2144484,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kust
13042-1464200264-1931995,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,do,@,ocn@kecnd@,p@son,ics,x@kus
13411-1464297265-1998299,Groningen_and_Drenthe,z@nect,lacxt,n@dact,s@,do,@,ocnb@kecnd@,p@son,ics,gc@kus
13602-1464261337-1960171,Groningen_and_Drenthe,sc@nect,lacx,nadact,s,do,@,ocnb@kecnd@,prson,ics,x@kust
13856-1464264093-1961569,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,do,@,ocn@kecnd@,p@son,ics,gc@kust
