filename,region,Kort,na,het,wielerfestijn,verbruikte,Dries,de,rest,van,de,deodrant
10185-1464086069-1855269,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
11437-1464118888-1882037,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracn
11438-1464216646-1950682,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d,deodocracnt
11665-1464189524-1921427,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,dicocdocracnt
12233-1464368206-2051574,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
12923-1464633382-2157876,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d,deodocracnt
13042-1464201641-1933469,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracn
13411-1465639659-2297684,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
15527-1473083461-2482770,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
16266-1464425714-2081593,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn
16334-1464158581-1897817,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,deodocracnt
16681-1465974191-2317685,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,vecrbruikt@,drs,d,recs,vacn,d,d@od@racn
16771-1466359573-2343107,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,vacn,d@,d@@docracnt
1687-1449170173-122265,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn
1707-1449563597-469129,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracn
17301-1472377079-2460166,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracn
203-1449162427-100816,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recst,facn,d@,deodocracnt
214-1452504962-700249,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt
2963-1450721894-755467,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,d@@docracnt
298-1449772754-575586,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,vacn,d@,deodocracnt
299-1449162330-100556,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d@,deodocracnt
3054-1449510522-440179,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,d@@docracn
3282-1449506319-435810,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
333-1449267523-241771,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
3385-1450453121-717134,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d,deodocracnt
