filename,region,na,de,tocht,in,de,regen,vaart,de,kapitein,blij,weg
10147-1464186839-1917280,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d,kacptein,blei,wecx
10185-1464080046-1853702,Groningen_and_Drenthe,na,d@,tocxt,icn,d,rex@,far,d@,kacpitein,blei,wecx
10238-1464473709-2110694,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,far,d@,kacpitein,blei,wecx
10566-1464767091-2185105,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@n,var,d,kacbidein,blei,wecx
11028-1464386100-2073037,Groningen_and_Drenthe,na,d@,tocxt,icn,d,regc@n,fart,d,kacpitein,blei,wecx
11153-1464724547-2180360,Groningen_and_Drenthe,na,d@,tocxt,n,d,regc@,var,d@,kacpitein,blei,wecx
11271-1464808804-2086240,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
11279-1464261063-1875030,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
11291-1464197879-1928430,Groningen_and_Drenthe,na,d,tocxt,icn,d,rex@n,far,d@,kacpitein,blei,wecx
11338-1464211216-1945847,Groningen_and_Drenthe,na,d@,toc,n,d,regcn,far,d@,kacbdein,blei,wecx
11437-1464114948-1877761,Groningen_and_Drenthe,na,d@,tocx,icn,d@,rex@n,fart,d,kacpitein,blei,wecx
11438-1464115089-1878520,Groningen_and_Drenthe,na,d@,tocx,icn,d@,rex@n,far,d@,kacbidein,blei,wecx
115-1449072039-10243,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@,far,d,k@pitein,blei,wecx
11665-1464185495-1916521,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx
11863-1464245930-1954716,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,var,d,kacp@tein,blei,wecx
11968-1465943363-2317486,Groningen_and_Drenthe,na,d@,tocxt,icn,d,regc@n,far,d,kacp@tein,blei,wecx
12233-1464256754-1911213,Groningen_and_Drenthe,na,d@,tocxt,icn,d,rex@n,vart,d@,kacbidein,blei,wecx
12421-1465419534-2280748,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regcn,far,d@,kacptein,blei,wecx
12923-1464629945-2155545,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,fart,d@,kacpitein,blei,wecx
12978-1464279376-1973631,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@n,fart,d@,kacpitein,blei,wecx
12987-1464509880-2114334,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@,fart,d,kacpitein,blei,wecx
13042-1464198809-1930258,Groningen_and_Drenthe,na,d@,tocxt,icn,d,regc@n,far,d@,kacpitein,blei,wecx
13411-1464295331-1996445,Groningen_and_Drenthe,na,d@,toc,icn,d@,regc@n,far,d@,kacp@tein,blei,wecx
13602-1464259378-1959386,Groningen_and_Drenthe,na,d@,toc,icn,d@,regcn,fart,d@,kacpitein,blei,wecx
13856-1464262547-1960661,Groningen_and_Drenthe,na,d@,tocxt,icn,d,regc@n,far,d@,kacpitein,blei,wecx
1393-1449156627-64623,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d,kacpitein,blei,wecx
14112-1464292168-1990785,Groningen_and_Drenthe,na,d@,tocx,n,d,regcn,far,d@,kacb@dein,blei,wecx
1421-1449156574-65971,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@n,fart,d,kacptein,blei,wecx
14576-1464467525-2107186,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,var,d@,kacpitein,blei,wecx
14654-1464283105-1978656,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,var,d@,kacp@tein,blei,wecx
14893-1466454022-2350164,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@n,fart,d@,kacptein,blei,wecx
14951-1464609155-2140775,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,fart,d@,kacb@dein,blei,wecx
1508-1449157623-76544,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@,far,d@,kacpitein,blei,wecx
15260-1464508003-2096071,Groningen_and_Drenthe,na,d@,tocxt,icn,d,regc@n,fart,d@,k@pitein,blei,wecx
15342-1464340584-2015363,Groningen_and_Drenthe,na,d@,tocx,icn,d,regc@n,var,d@,kacb@dein,blei,wecx
15470-1464644567-2163955,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regc@n,fart,d,kacp@tein,blei,wecx
15527-1466443309-2348781,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,fart,d,kacptein,blei,wecx
15537-1464554606-2136777,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,fart,d,kacpitein,blei,wecx
15591-1464811106-2027074,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacptein,blei,wecx
15737-1465508692-2288697,Groningen_and_Drenthe,na,d@,tocxt,icn,d,regc@n,fart,d,kacp@tein,blei,wecx
15908-1464434335-2087341,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,vart,d,kacpitein,blei,wecx
16209-1464372354-2056691,Groningen_and_Drenthe,na,d@,tocxt,n,d,regc,far,d@,kacp@tein,blei,wecx
16245-1465248497-2107528,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@n,var,d@,kacbidein,blei,wecx
