filename,region,na,zijn,reis,maakt,hij,een,kaart,van,de,onverharde,wagen,en,die,zet,hij,direct,op,een,DVD
10185-1464085489-1854854,Groningen_and_Drenthe,na,zein,reis,mak,hei,n,kart,facn,d,ocnfecrhacrd@,wegc@,ecn,di,zect,hei,dacjreckt,ocp,@n,defede
11279-1464371649-2055318,Groningen_and_Drenthe,na,sein,reis,mak,hei,@n,kart,vacn,d@,ocnfecrhacrd@,wex@n,ecn,di,sect,hei,dacjreck,ocp,n,defede
11437-1464117480-1880720,Groningen_and_Drenthe,na,sein,reis,makt,hei,n,kart,facn,d,ocnfecrhacrd@,wex@n,ecn,di,zect,hei,dacjreck,p,@,defede
11438-1464215376-1950239,Groningen_and_Drenthe,na,zein,reis,mak,hei,n,kart,facn,d@,ocnfecrhacrd@,wegc@n,ecn,di,zect,hei,dacjreckt,ocp,@n,defede
11665-1464188643-1920308,Groningen_and_Drenthe,na,sein,reis,makt,hei,@n,kart,vacn,d@,ocnfecrhacrd@,wegc@,ecn,di,sect,hei,dacjreckt,ocp,@n,defede
12233-1464367479-2050203,Groningen_and_Drenthe,na,zein,reis,mak,hei,n,kar,facn,d,ocnfecrhacrd@,wegc@,ecn,di,zect,hei,dacjr@kt,ocp,n,defede
12923-1464632744-2156992,Groningen_and_Drenthe,na,sein,reis,mak,hei,n,kart,facn,d,ocnfecrhacrd@,wex@n,ecn,di,sect,hei,dacjreckt,ocp,n,defede
13042-1464200754-1933058,Groningen_and_Drenthe,na,zein,reis,mak,hei,n,kar,vacn,d@,ocnfecrhacrd@,wegc@,ecn,di,zect,hei,dacjreckt,ocp,n,dicfede
13411-1464763920-2174929,Groningen_and_Drenthe,na,zein,reis,mak,hei,n,kart,facn,d,ocnfecrhacrd@,wegc@n,n,di,zect,hei,dacjr@k,p,@n,defede
13856-1464274318-1969423,Groningen_and_Drenthe,na,zein,reis,mak,hei,n,kart,vacn,d,ocnfecrhacrd@,wex@,ecn,di,zect,hei,dacjreckt,ocp,@n,defede
