filename,region,natuurlijk,ga,je,van,hard,werken,heus,niet,dood,maar,in,andere,opzichten,is,de,prijs,soms,hoger,dan,je,dacht
11437-1464117953-1882036,Groningen_and_Drenthe,ntyk,xa,j,facn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacx
11438-1464216860-1950683,Groningen_and_Drenthe,natyl@k,xa,j,facn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j@,dacxt
11665-1464189395-1921426,Groningen_and_Drenthe,n@tyl@k,xa,j,facn,hacr,wecrk@,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
12233-1464368554-2051573,Groningen_and_Drenthe,n@tyl@k,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogc@r,dacn,j@,dacxt
12923-1464633432-2157877,Groningen_and_Drenthe,n@tyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
13042-1464201237-1933470,Groningen_and_Drenthe,n@tyrl@k,xa,j@,facn,hacr,wecrk@n,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j@,dacx
15527-1473083796-2482769,Groningen_and_Drenthe,n@tyrl@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@,ics,d@,preis,socms,hoxr,dacn,j,dacxt
16266-1464425734-2081594,Groningen_and_Drenthe,n@ty@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx
16334-1464158737-1897818,Groningen_and_Drenthe,n@ty@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
16681-1465973889-2317684,Groningen_and_Drenthe,natyrl@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
16771-1466359654-2343106,Groningen_and_Drenthe,ntyrl@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
1687-1449170088-122264,Groningen_and_Drenthe,ntyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx
1707-1449563419-469130,Groningen_and_Drenthe,n@tyl@k,xa,j@,facn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
17301-1472377412-2460165,Groningen_and_Drenthe,ndylk,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacxt
203-1449162124-100815,Groningen_and_Drenthe,n@tyrk,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
214-1452504466-700250,Groningen_and_Drenthe,ndy@k,xa,j@,facn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
2963-1450722618-755466,Groningen_and_Drenthe,n@tyl@k,xa,j@,facn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
298-1449772630-575585,Groningen_and_Drenthe,nacdyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
299-1449161640-100557,Groningen_and_Drenthe,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d,preis,socms,hogc,dacn,j,dacxt
