filename,region,pistool,geraapt,toveren,ijs,verkeerd
10185-1464086217-1855270,Groningen_and_Drenthe,p@st@l,gc@rap,tof@r@,eis,v@rkert
11437-1464118002-1882038,Groningen_and_Drenthe,pistol,x@rapt,tf@r@,eis,v@ker
11438-1464216308-1950684,Groningen_and_Drenthe,p@st@l,x@rapt,tf@r@n,eis,f@rker
11665-1464189105-1921428,Groningen_and_Drenthe,p@st@l,x@rapt,tocf@r@,eis,vrker
12233-1464368314-2051575,Groningen_and_Drenthe,pistol,x@rapt,tf@r@n,eis,v@rker
12923-1464633583-2157878,Groningen_and_Drenthe,pistol,x@rapt,tof@r@n,eis,v@rkert
13042-1464201366-1933471,Groningen_and_Drenthe,pistol,x@rapt,tocf@r@n,eis,v@rker
15527-1473083725-2482771,Groningen_and_Drenthe,pistol,x@rapt,tocf@r@n,eis,vker
16266-1465212454-2081595,Groningen_and_Drenthe,p@st@l,gc@rap,tocf@r@,eis,vrker
16334-1464158120-1897819,Groningen_and_Drenthe,pistol,x@rapt,tof@r@n,eis,vker
16681-1465974334-2317686,Groningen_and_Drenthe,p@st@l,gcrapt,tof@r@,eis,f@rker
16771-1466359566-2343108,Groningen_and_Drenthe,p@st@l,x@rapt,tfr@,eis,f@ker
1687-1449170443-122266,Groningen_and_Drenthe,pistocl,x@rapt,tof@r@,eis,f@kert
1707-1449563268-469131,Groningen_and_Drenthe,p@st@l,x@rapt,tocf@r@,eis,f@rkert
17301-1472376518-2460167,Groningen_and_Drenthe,p@stol,gcrap,tocf@r@,eis,v@rkert
203-1449162200-100817,Groningen_and_Drenthe,p@stol,gc@rapt,tof@r@,eis,vker
214-1452504705-700251,Groningen_and_Drenthe,p@st@l,x@rap,tof@r@,eis,frkert
2825-1450547088-726201,Groningen_and_Drenthe,pst@l,x@rap,tof@r@,eis,frker
2963-1450721986-755468,Groningen_and_Drenthe,pistol,gc@rapt,tof@r@n,eis,f@kert
298-1449772681-575587,Groningen_and_Drenthe,p@st@l,gc@rap,tocf@r@n,eis,v@rkert
299-1449162270-100558,Groningen_and_Drenthe,pst@l,gc@rapt,tof@r@n,eis,f@rker
3054-1449510114-440180,Groningen_and_Drenthe,pistol,gc@rap,tof@r@n,eis,f@ker
3282-1449506308-435811,Groningen_and_Drenthe,pst@l,gc@rap,tfrn,eis,vrker
333-1449267548-241772,Groningen_and_Drenthe,pistol,x@rap,tfr,eis,vker
3385-1450452925-717136,Groningen_and_Drenthe,pistol,x@rap,tof@r@n,eis,v@kert
3526-1454539132-1315071,Groningen_and_Drenthe,p@stol,gc@rapt,tocf@r@,eis,v@rkert
3966-1452613395-888388,Groningen_and_Drenthe,pistol,x@rapt,tof@r@n,eis,v@rkert
3984-1450772937-760594,Groningen_and_Drenthe,pst@l,gc@rapt,tof@r@,eis,frkert
4111-1450006633-637168,Groningen_and_Drenthe,pistol,gcrapt,tocf@r@n,eis,v@rker
4357-1450305711-704545,Groningen_and_Drenthe,pistol,x@rap,tf@r@,eis,vker
4406-1453646174-926445,Groningen_and_Drenthe,pistocl,xrapt,tocf@r@,eis,frkert
4616-1450898290-770688,Groningen_and_Drenthe,p@stol,xrap,tof@r@n,eis,frkert
4895-1476473663-832228,Groningen_and_Drenthe,pst@l,gc@rap,tof@r@,eis,frkert
4923-1455304287-1435751,Groningen_and_Drenthe,p@st@l,gc@rapt,tof@r@n,eis,vkert
5153-1457518170-1567294,Groningen_and_Drenthe,pistol,xrapt,tfrn,eis,v@rker
5383-1454063415-1073532,Groningen_and_Drenthe,pst@l,x@rapt,tocf@r@n,eis,f@kert
5669-1454600419-1328916,Groningen_and_Drenthe,pistocl,gc@rap,tof@r@,eis,v@ker
6225-1454063971-1074071,Groningen_and_Drenthe,pst@l,gc@rapt,tocf@r@n,eis,f@rker
6259-1455385327-1430873,Groningen_and_Drenthe,p@st@l,gc@rap,tfr,eis,f@ker
7039-1454587915-1323538,Groningen_and_Drenthe,pst@l,gcrapt,tof@r@,eis,frkert
7140-1454521823-1298413,Groningen_and_Drenthe,p@st@l,xrapt,tof@r@,eis,v@rker
7275-1456400905-1518808,Groningen_and_Drenthe,pistol,gc@rapt,tocf@r@n,eis,vker
7470-1455107673-1402853,Groningen_and_Drenthe,pistocl,gc@rapt,tocf@r@n,eis,f@rker
7790-1456080238-1492047,Groningen_and_Drenthe,p@st@l,x@rapt,tof@r@n,eis,f@rkert
7955-1463166163-1813013,Groningen_and_Drenthe,p@stol,gcrap,tof@r@,eis,frker
7961-1456583854-1532445,Groningen_and_Drenthe,pistol,gc@rapt,tocf@r@,eis,v@ker
8404-1458302316-1677901,Groningen_and_Drenthe,pst@l,x@rapt,tocf@r@,eis,f@rker
8674-1457955375-1638927,Groningen_and_Drenthe,p@stol,gcrap,tocf@r@,eis,f@rkert
8763-1458206512-1672042,Groningen_and_Drenthe,p@st@l,gc@rapt,tof@r@n,eis,f@ker
8834-1458058553-1660968,Groningen_and_Drenthe,p@stol,xrap,tof@r@,eis,vrker
8937-1460648729-1762454,Groningen_and_Drenthe,p@stol,gcrap,tof@r@,eis,frker
8963-1458485803-1689682,Groningen_and_Drenthe,pistol,gc@rap,tof@r@n,eis,vker
9363-1462391548-1799837,Groningen_and_Drenthe,p@st@l,x@rapt,tof@r@n,eis,f@kert
9789-1465021421-2229467,Groningen_and_Drenthe,p@st@l,gc@rap,tof@r@n,eis,f@rkert
9935-1464219361-1952044,Groningen_and_Drenthe,pistol,xrap,tf@r@,eis,vkert
10015-1465415774-2278884,Limburg,pistol,gc@rap,tfr@,eis,v@ker
10038-1465798163-2309630,Limburg,pistol,gc@rapt,tof@r@n,eis,v@rker
10241-1464791998-2190491,Limburg,pistol,gc@rapt,tof@r@n,eis,f@kert
10267-1464460463-2101924,Limburg,pistol,x@rap,tof@r@n,eis,v@ker
10295-1464287404-1983788,Limburg,pst@l,gc@rapt,tof@r@n,eis,v@ker
10873-1464180659-1912799,Limburg,pst@l,gc@rap,tof@r@,eis,vrker
10988-1464181386-1913584,Limburg,p@stol,xrapt,tof@r@,eis,vker
11719-1464609819-2146387,Limburg,pst@l,gc@rap,tof@r@,eis,vrkert
12535-1464198520-1930137,Limburg,p@st@l,gc@rap,tocf@r@n,eis,v@ker
