filename,region,zacht,knort,het,varken,in,de,wei,een,karakteristiek,geluid
10185-1464085018-1854855,Groningen_and_Drenthe,sacx,knocrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
11271-1464811681-2196983,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@n,icn,d,wei,@,kacrackt@r@stik,x@luit
11279-1464371359-2055317,Groningen_and_Drenthe,sacx,knocrt,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
11437-1464117588-1880721,Groningen_and_Drenthe,sacxt,kn@r,hect,facrk@,icn,d@,wei,n,karackt@r@stik,x@luit
11438-1464215579-1950238,Groningen_and_Drenthe,sacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
11665-1464188524-1920307,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
12233-1464367763-2050204,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gcluit
12923-1464632025-2156991,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@,kacrackt@r@stik,x@luit
13042-1464201204-1933059,Groningen_and_Drenthe,zacx,knocr,hect,vacrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit
13411-1464763755-2174928,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,gc@luit
13856-1464274231-1969422,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
14112-1466320169-2340475,Groningen_and_Drenthe,sacxt,knrt,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
14576-1464469097-2108387,Groningen_and_Drenthe,sacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
15260-1464544623-2129404,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit
15527-1466446580-2349330,Groningen_and_Drenthe,sacx,knocrt,hect,facrk@,icn,d@,wei,n,karackt@r@stik,gc@luit
16245-1469550477-2414604,Groningen_and_Drenthe,zacxt,knocrt,hect,vacrk@,icn,d@,wei,@,karackt@r@stik,x@luit
16266-1464424865-2081150,Groningen_and_Drenthe,zacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
16334-1464157819-1897541,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
16681-1465940646-2317397,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
1669-1449357614-324813,Groningen_and_Drenthe,zacxt,knocr,hect,vacrk@,icn,d@,wei,@,kacrackt@r@stik,x@luit
16704-1465676948-2301530,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,xluit
16771-1466358354-2343007,Groningen_and_Drenthe,sacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit
1687-1449169738-119950,Groningen_and_Drenthe,sacx,knocrt,hect,facrk@n,icn,d,wei,n,kacrackt@r@stik,x@luit
1707-1449563085-468613,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d,wei,@,karackt@r@stik,x@luit
17145-1472490745-2475660,Groningen_and_Drenthe,sacx,kn@r,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit
17301-1472376067-2458564,Groningen_and_Drenthe,zacx,knocr,hect,facrk@,icn,d@,wei,n,karackt@r@stik,x@luit
17402-1473110008-2483279,Groningen_and_Drenthe,sacx,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
203-1449161405-96219,Groningen_and_Drenthe,zacx,knocrt,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
214-1449569787-472654,Groningen_and_Drenthe,sacx,kn@r,hect,vacrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
2409-1449654737-525050,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
2499-1449341523-307811,Groningen_and_Drenthe,sacx,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gcluit
2825-1450546590-725763,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d,wei,n,karackt@r@stik,gc@luit
2963-1449520514-453954,Groningen_and_Drenthe,zacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit
298-1449771513-575182,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,xluit
299-1449161569-95687,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
3054-1449440153-404762,Groningen_and_Drenthe,zacx,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
3282-1449505302-434399,Groningen_and_Drenthe,zacxt,knocr,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
333-1449236093-195963,Groningen_and_Drenthe,zacxt,knr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
3354-1449518046-451028,Groningen_and_Drenthe,zacxt,knocrt,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
3385-1450452093-716770,Groningen_and_Drenthe,zacxt,knocr,hect,vacrk@,icn,d@,wei,@,karackt@r@stik,x@luit
3526-1453505394-920497,Groningen_and_Drenthe,zacx,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit
3966-1449926409-608858,Groningen_and_Drenthe,sacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gcluit
