adopteert,160,201,157
al,174,214,163
altijd,174,214,163
andere,53,90,54
bij,250,323,235
blij,173,214,164
bracht,174,214,163
dacht,53,90,54
dan,53,90,54
de,1009,1345,961
deodorant,55,91,55
die,424,536,396
direct,76,108,70
dood,53,90,54
door,117,146,108
Dries,55,91,55
DVD,76,108,70
echtpaar,160,201,157
een,582,781,549
en,76,108,70
erudiet,76,109,72
ga,53,90,54
gekust,117,146,108
geld,160,201,157
gele,174,214,163
geluid,77,109,72
geraapt,55,90,56
gewild,174,214,163
hard,53,90,54
heeft,174,214,163
het,466,615,447
heus,53,90,54
hij,152,216,140
hoger,53,90,54
ijs,55,90,56
ik,76,109,72
in,303,413,290
is,170,236,162
je,106,180,108
Jeannette,117,146,108
jij,174,214,163
kaart,76,108,70
kapitein,173,214,164
karakteristiek,77,109,72
knort,77,109,72
kort,55,91,55
lacht,117,146,108
laken,174,214,163
leuk,174,214,163
maakt,76,108,70
maar,53,90,54
na,304,413,289
nadat,117,146,108
natuurlijk,53,90,54
niet,53,90,54
omdat,174,214,163
onbekende,117,146,108
onverharde,76,108,70
op,76,108,70
opzichten,53,90,54
persoon,117,146,108
pistool,55,90,56
prijs,53,90,54
regen,173,214,164
reis,76,108,70
reken,76,109,72
rest,55,91,55
soms,53,90,54
sprei,174,214,163
staat,174,214,163
Suzan,174,214,163
takt,76,109,72
tocht,173,214,164
toveren,55,90,56
tweejarig,160,201,157
vaart,173,214,164
van,184,289,179
varken,77,109,72
veel,160,201,157
verbruikte,55,91,55
verkeerd,55,90,56
verwart,76,109,72
voor,160,201,157
weesje,160,201,157
weg,173,214,164
wegen,76,108,70
wei,77,109,72
werken,53,90,54
wielerfestijn,55,91,55
zacht,77,109,72
ze,117,146,108
zet,76,108,70
zijn,76,108,70
zo,174,214,163
